playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP
15998,Cody Bellinger,LAD,132,109,47,14,32,37,5,14.4%,11.4%,0.45899999999999996,0.39799999999999996,0.431,0.508,0.89,34.0%,29.9%,36.1%,5.7%,40.0%,22.6%,66.0%,40.7%,81.1%,88.4%,86.0%,0.406
11477,Christian Yelich,MIL,124,102,36,14,26,34,6,16.1%,16.1%,0.451,0.319,0.353,0.46,0.804,15.7%,43.4%,41.0%,11.8%,41.2%,27.9%,72.4%,44.8%,56.6%,87.8%,75.7%,0.429
17975,Scott Kingery,PHI,35,32,13,2,5,6,1,2.9%,14.3%,0.313,0.44,0.406,0.457,0.7190000000000001,14.8%,51.9%,33.3%,0.0%,22.2%,40.2%,74.5%,53.5%,54.3%,85.4%,71.1%,0.315
7927,Eric Sogard,TOR,49,43,17,3,8,9,2,10.2%,10.2%,0.302,0.4,0.395,0.45799999999999996,0.698,29.7%,29.7%,40.5%,0.0%,20.0%,27.3%,50.5%,37.3%,93.9%,97.8%,96.2%,0.353
14130,Daniel Vogelbach,SEA,92,71,22,8,15,16,0,21.7%,21.7%,0.423,0.318,0.31,0.457,0.732,21.2%,26.9%,51.9%,7.4%,29.6%,23.7%,48.8%,33.7%,66.1%,82.7%,75.7%,0.341
12861,Anthony Rendon,WSN,86,73,26,6,21,18,0,10.5%,17.4%,0.384,0.377,0.35600000000000004,0.442,0.74,20.3%,30.5%,49.2%,10.3%,20.7%,22.9%,64.6%,40.3%,71.7%,93.5%,86.3%,0.41200000000000003
15161,Mitch Garver,MIN,50,46,16,5,11,10,0,8.0%,26.0%,0.413,0.39299999999999996,0.348,0.4,0.7609999999999999,18.2%,42.4%,39.4%,0.0%,38.5%,20.9%,51.1%,32.9%,57.1%,91.1%,78.1%,0.365
13499,Tom Murphy,SEA,30,27,10,2,3,4,0,10.0%,36.7%,0.33299999999999996,0.5710000000000001,0.37,0.433,0.7040000000000001,37.5%,12.5%,50.0%,0.0%,25.0%,29.5%,64.5%,45.0%,39.1%,82.5%,66.7%,0.324
15117,Hunter Dozier,KCR,103,86,30,7,14,17,0,14.6%,17.5%,0.337,0.371,0.349,0.447,0.6859999999999999,18.8%,31.9%,49.3%,0.0%,20.6%,22.4%,55.3%,37.0%,51.1%,94.4%,79.9%,0.348
15672,Austin Meadows,TBR,83,74,26,6,11,19,3,9.6%,21.7%,0.324,0.4,0.35100000000000003,0.42200000000000004,0.6759999999999999,23.2%,33.9%,42.9%,12.5%,25.0%,26.9%,56.7%,38.5%,58.3%,83.8%,72.9%,0.364
17321,Michael Chavis,BOS,39,32,10,3,7,8,1,15.4%,25.6%,0.313,0.368,0.313,0.436,0.625,9.1%,45.5%,45.5%,10.0%,30.0%,24.2%,67.1%,42.9%,50.0%,68.1%,62.3%,0.322
14128,Joey Gallo,TEX,109,87,23,10,20,25,0,19.3%,34.9%,0.414,0.325,0.264,0.40399999999999997,0.6779999999999999,28.0%,30.0%,42.0%,4.8%,47.6%,23.3%,69.4%,41.2%,32.4%,74.4%,59.9%,0.389
10155,Mike Trout,LAA,119,85,25,6,19,16,4,24.4%,11.8%,0.271,0.28800000000000003,0.294,0.48700000000000004,0.565,27.8%,31.9%,40.3%,6.9%,20.7%,16.1%,57.9%,33.5%,81.4%,96.4%,92.2%,0.43799999999999994
11609,Willson Contreras,CHC,98,80,23,7,17,17,1,13.3%,28.6%,0.33799999999999997,0.35600000000000004,0.28800000000000003,0.418,0.625,13.7%,41.2%,45.1%,8.7%,30.4%,32.1%,70.3%,45.6%,59.8%,79.8%,70.7%,0.355
8709,Elvis Andrus,TEX,120,108,39,5,19,20,6,8.3%,19.2%,0.222,0.425,0.361,0.425,0.583,30.6%,45.9%,23.5%,0.0%,25.0%,31.1%,57.1%,42.0%,61.2%,83.9%,74.1%,0.313
15172,Tim Anderson,CHW,99,96,36,6,21,18,10,2.0%,21.2%,0.24,0.435,0.375,0.39399999999999996,0.615,22.7%,46.7%,30.7%,4.3%,26.1%,44.8%,79.4%,58.0%,66.3%,88.5%,77.9%,0.35700000000000004
15149,Trey Mancini,BAL,121,110,39,6,23,14,0,8.3%,20.7%,0.264,0.413,0.355,0.405,0.618,25.6%,37.2%,37.2%,12.5%,18.8%,33.7%,69.3%,48.7%,68.8%,81.4%,76.4%,0.364
15653,Dominic Smith,NYM,34,27,10,0,7,4,0,17.6%,17.6%,0.07400000000000001,0.47600000000000003,0.37,0.5,0.444,23.8%,42.9%,33.3%,14.3%,0.0%,29.7%,63.8%,43.0%,77.8%,73.0%,75.0%,0.355
18015,Paul DeJong,STL,129,117,40,5,26,13,2,7.8%,17.1%,0.265,0.389,0.342,0.40299999999999997,0.607,27.4%,29.5%,43.2%,9.8%,12.2%,25.5%,72.3%,46.6%,60.6%,85.1%,77.7%,0.318
19251,Pete Alonso,NYM,123,106,31,9,20,26,0,11.4%,28.5%,0.349,0.349,0.292,0.382,0.642,19.4%,41.7%,38.9%,7.1%,32.1%,33.7%,63.7%,45.0%,57.0%,83.1%,70.9%,0.358
16472,Rhys Hoskins,PHI,128,104,29,8,19,24,0,16.4%,25.8%,0.308,0.33299999999999996,0.27899999999999997,0.414,0.5870000000000001,19.7%,29.6%,50.7%,16.7%,22.2%,22.4%,57.8%,37.6%,68.8%,84.6%,79.2%,0.364
12858,Brian Goodwin,LAA,95,80,27,4,19,11,0,12.6%,21.1%,0.23800000000000002,0.40399999999999997,0.33799999999999997,0.426,0.575,29.5%,32.8%,37.7%,0.0%,17.4%,24.6%,60.1%,40.2%,61.4%,85.5%,77.2%,0.326
3174,Shin-Soo Choo,TEX,117,102,34,3,20,11,2,11.1%,18.8%,0.235,0.40299999999999997,0.33299999999999996,0.419,0.569,20.3%,45.6%,34.2%,0.0%,11.1%,20.9%,67.3%,42.6%,45.3%,84.7%,74.4%,0.371
15362,Jeff McNeil,NYM,116,100,37,1,15,12,0,8.6%,9.5%,0.13,0.409,0.37,0.457,0.5,21.8%,46.0%,32.2%,10.7%,3.6%,31.9%,78.1%,51.1%,67.1%,88.6%,80.8%,0.384
13419,Christian Walker,ARI,113,101,31,7,16,15,3,10.6%,29.2%,0.307,0.39299999999999996,0.307,0.381,0.614,19.1%,41.2%,39.7%,7.4%,25.9%,30.4%,73.3%,48.0%,46.8%,75.0%,64.5%,0.348
13152,Jorge Polanco,MIN,113,100,32,5,15,10,0,9.7%,15.9%,0.28,0.34600000000000003,0.32,0.389,0.6,27.2%,19.8%,53.1%,7.0%,11.6%,30.2%,62.4%,43.8%,77.5%,88.4%,84.1%,0.35600000000000004
4229,Howie Kendrick,WSN,63,51,16,4,11,13,0,12.7%,14.3%,0.294,0.293,0.314,0.397,0.608,15.6%,42.2%,42.2%,0.0%,21.1%,28.9%,65.9%,43.0%,78.0%,96.6%,88.9%,0.395
13338,Omar Narvaez,SEA,91,77,25,5,20,13,0,13.2%,18.7%,0.221,0.35700000000000004,0.325,0.418,0.545,21.3%,32.8%,45.9%,7.1%,17.9%,27.6%,71.2%,45.9%,75.8%,81.0%,79.2%,0.353
17027,Alex Verdugo,LAD,72,69,23,4,8,16,0,4.2%,11.1%,0.29,0.33299999999999996,0.33299999999999996,0.361,0.623,21.3%,45.9%,32.8%,0.0%,20.0%,25.3%,59.4%,40.2%,80.0%,95.1%,89.8%,0.342
16578,Yandy Diaz,TBR,114,94,28,7,18,18,1,14.9%,17.5%,0.298,0.3,0.298,0.395,0.596,14.3%,54.5%,31.2%,8.3%,29.2%,21.2%,69.3%,41.0%,63.2%,80.2%,75.0%,0.34
9134,Tyler Flowers,ATL,59,53,18,3,7,4,0,6.8%,30.5%,0.20800000000000002,0.469,0.34,0.40700000000000003,0.547,28.6%,34.3%,37.1%,7.7%,23.1%,24.6%,64.9%,42.9%,48.5%,83.3%,72.4%,0.319
2434,Nelson Cruz,MIN,91,78,23,5,14,15,0,11.0%,25.3%,0.26899999999999996,0.36,0.295,0.396,0.564,29.1%,23.6%,47.3%,3.8%,19.2%,27.2%,70.5%,42.6%,47.7%,82.8%,68.4%,0.392
12859,James McCann,CHW,60,56,20,2,9,5,2,6.7%,21.7%,0.179,0.439,0.35700000000000004,0.4,0.536,30.2%,32.6%,37.2%,0.0%,12.5%,29.8%,68.8%,47.7%,56.4%,81.8%,73.3%,0.32799999999999996
11899,Joc Pederson,LAD,110,92,22,10,22,18,0,10.9%,19.1%,0.38,0.19399999999999998,0.239,0.355,0.62,14.1%,43.7%,42.3%,6.7%,33.3%,31.0%,66.3%,46.1%,72.7%,84.4%,79.9%,0.33899999999999997
11442,Gary Sanchez,NYY,67,60,14,8,10,18,0,7.5%,26.9%,0.433,0.17600000000000002,0.233,0.313,0.667,14.3%,21.4%,64.3%,14.8%,29.6%,38.2%,57.9%,46.2%,53.3%,82.3%,68.0%,0.316
15983,Clint Frazier,NYY,73,68,22,6,10,17,0,4.1%,21.9%,0.309,0.33299999999999996,0.324,0.342,0.632,20.4%,37.0%,42.6%,4.3%,26.1%,24.8%,73.8%,46.7%,37.5%,84.4%,70.6%,0.317
17232,Yoan Moncada,CHW,115,105,33,6,22,20,2,7.8%,22.6%,0.257,0.37,0.314,0.374,0.5710000000000001,22.8%,40.5%,36.7%,10.3%,20.7%,26.5%,67.8%,46.0%,55.6%,84.8%,76.0%,0.36700000000000005
5361,Freddie Freeman,ATL,133,110,33,5,23,18,0,15.8%,18.0%,0.2,0.34600000000000003,0.3,0.42100000000000004,0.5,32.6%,33.7%,33.7%,0.0%,17.2%,27.8%,79.5%,48.4%,67.4%,77.9%,74.3%,0.389
11875,Ronny Rodriguez,DET,32,29,8,2,6,4,1,6.3%,25.0%,0.414,0.3,0.276,0.313,0.69,9.5%,33.3%,57.1%,8.3%,16.7%,46.6%,68.2%,55.9%,55.6%,76.7%,66.7%,0.252
4940,Jason Heyward,CHC,101,81,25,5,15,15,4,16.8%,13.9%,0.198,0.313,0.309,0.426,0.506,17.4%,46.4%,36.2%,12.0%,20.0%,26.0%,66.2%,41.9%,74.1%,91.1%,84.7%,0.34299999999999997
16505,Matt Chapman,OAK,120,101,29,7,12,17,0,11.7%,11.7%,0.267,0.268,0.287,0.38299999999999995,0.5539999999999999,15.7%,40.4%,43.8%,17.9%,17.9%,22.2%,59.1%,38.4%,83.6%,85.6%,85.0%,0.342
16219,J.D. Davis,NYM,74,63,19,3,12,8,0,14.9%,16.2%,0.20600000000000002,0.33299999999999996,0.302,0.405,0.508,25.5%,49.0%,25.5%,7.7%,23.1%,20.0%,68.1%,42.4%,67.7%,81.5%,78.0%,0.369
5209,Alex Gordon,KCR,124,103,31,5,18,22,0,9.7%,11.3%,0.243,0.299,0.301,0.395,0.544,18.9%,45.6%,35.6%,3.1%,15.6%,22.9%,75.9%,44.9%,66.7%,89.9%,82.9%,0.345
10324,Marcell Ozuna,STL,114,100,26,10,24,28,3,11.4%,21.9%,0.35,0.24600000000000002,0.26,0.35100000000000003,0.61,21.3%,37.3%,41.3%,9.7%,32.3%,31.6%,67.0%,46.2%,55.3%,80.2%,70.1%,0.32799999999999996
14811,Luke Voit,NYY,130,109,30,8,21,25,0,13.8%,23.8%,0.248,0.314,0.275,0.392,0.523,34.6%,34.6%,30.8%,0.0%,33.3%,25.8%,78.1%,47.7%,46.8%,81.0%,70.2%,0.37799999999999995
15640,Aaron Judge,NYY,89,73,21,5,13,11,2,15.7%,29.2%,0.233,0.37200000000000005,0.28800000000000003,0.40399999999999997,0.521,31.3%,39.6%,29.2%,0.0%,35.7%,24.1%,66.5%,42.4%,38.5%,78.0%,65.2%,0.381
13145,Josh Bell,PIT,113,98,28,6,16,21,0,10.6%,23.9%,0.306,0.32799999999999996,0.28600000000000003,0.363,0.5920000000000001,20.5%,42.5%,37.0%,3.7%,22.2%,27.2%,73.2%,44.2%,66.7%,80.5%,75.1%,0.36700000000000005
10681,Gio Urshela,NYY,66,58,20,1,8,6,1,7.6%,13.6%,0.155,0.38799999999999996,0.345,0.409,0.5,34.0%,40.0%,26.0%,15.4%,7.7%,37.1%,69.4%,50.6%,76.8%,89.3%,84.0%,0.355
12979,Javier Baez,CHC,123,116,35,9,23,22,2,5.7%,26.8%,0.31,0.35100000000000003,0.302,0.341,0.612,16.9%,43.4%,39.8%,6.1%,27.3%,45.4%,75.4%,55.7%,55.6%,85.0%,69.3%,0.316
16376,Michael Conforto,NYM,129,104,28,6,20,14,2,17.1%,22.5%,0.25,0.314,0.26899999999999996,0.40299999999999997,0.519,25.0%,26.3%,48.7%,5.4%,16.2%,23.5%,66.7%,40.5%,61.5%,81.9%,74.8%,0.363
6153,Eduardo Escobar,ARI,124,109,33,5,17,17,0,8.9%,21.8%,0.239,0.359,0.303,0.379,0.541,22.9%,41.0%,36.1%,3.3%,16.7%,37.7%,60.2%,46.3%,61.4%,85.7%,73.5%,0.32
12856,George Springer,HOU,135,117,32,9,21,24,3,11.9%,25.9%,0.29100000000000004,0.311,0.27399999999999997,0.363,0.564,14.5%,49.4%,36.1%,6.7%,30.0%,21.4%,71.5%,42.9%,55.6%,79.0%,72.3%,0.38299999999999995
14162,Carlos Correa,HOU,116,104,31,6,12,18,1,8.6%,26.7%,0.26,0.368,0.298,0.36200000000000004,0.5579999999999999,28.8%,37.0%,34.2%,8.0%,24.0%,29.5%,65.0%,45.0%,59.2%,85.4%,75.7%,0.358
4866,Jarrod Dyson,ARI,75,64,20,3,13,8,3,13.3%,16.0%,0.188,0.34,0.313,0.4,0.5,20.4%,59.2%,20.4%,0.0%,30.0%,23.4%,64.7%,40.3%,55.0%,90.9%,78.6%,0.313
17678,Alex Bregman,HOU,122,96,26,5,14,14,2,18.0%,14.8%,0.20800000000000002,0.28,0.271,0.41,0.479,27.5%,25.0%,47.5%,13.2%,13.2%,17.5%,59.0%,35.1%,62.0%,91.9%,83.3%,0.423
13611,Mookie Betts,BOS,132,112,33,6,22,15,1,13.6%,14.4%,0.23199999999999998,0.307,0.295,0.39399999999999996,0.527,16.0%,41.5%,42.6%,17.5%,15.0%,17.2%,58.1%,35.8%,73.1%,93.2%,87.9%,0.391
5038,Josh Donaldson,ATL,119,97,25,5,20,13,0,17.6%,26.9%,0.237,0.33299999999999996,0.258,0.395,0.495,16.9%,49.2%,33.8%,9.1%,22.7%,22.7%,72.9%,42.3%,54.2%,77.0%,69.5%,0.379
12144,Max Kepler,MIN,102,90,25,7,15,16,0,10.8%,17.6%,0.289,0.273,0.278,0.353,0.5670000000000001,13.7%,39.7%,46.6%,14.7%,20.6%,30.9%,77.4%,51.0%,58.7%,91.7%,80.3%,0.336
2967,Tommy Pham,TBR,125,102,30,4,14,12,6,16.8%,15.2%,0.16699999999999998,0.325,0.294,0.41600000000000004,0.461,21.4%,54.8%,23.8%,5.0%,20.0%,14.1%,65.2%,36.9%,66.7%,87.7%,83.2%,0.369
3353,Matt Joyce,ATL,30,27,7,2,3,5,0,10.0%,26.7%,0.33299999999999996,0.294,0.259,0.33299999999999996,0.593,15.8%,31.6%,52.6%,0.0%,20.0%,22.0%,61.8%,41.2%,53.8%,79.4%,72.3%,0.408
19709,Fernando Tatis Jr.,SDP,111,100,30,6,14,13,6,7.2%,28.8%,0.25,0.381,0.3,0.36,0.55,13.4%,49.3%,37.3%,8.0%,24.0%,34.5%,71.7%,49.0%,54.9%,78.0%,68.1%,0.379
18882,Brandon Lowe,TBR,100,90,26,6,17,17,3,8.0%,33.0%,0.278,0.385,0.289,0.35,0.5670000000000001,32.8%,36.2%,31.0%,11.1%,33.3%,33.3%,79.2%,52.5%,38.5%,77.4%,63.0%,0.336
3892,Josh Reddick,HOU,99,91,32,3,13,7,1,8.1%,11.1%,0.132,0.377,0.35200000000000004,0.40399999999999997,0.484,25.3%,38.0%,36.7%,3.4%,10.3%,35.7%,78.1%,54.0%,74.6%,93.2%,86.2%,0.319
4892,Mike Moustakas,MIL,102,90,24,7,14,15,1,10.8%,20.6%,0.289,0.27399999999999997,0.267,0.353,0.556,22.1%,30.9%,47.1%,21.9%,21.9%,34.4%,66.2%,46.0%,69.3%,85.7%,78.0%,0.32899999999999996
14523,Pedro Severino,BAL,47,42,11,4,5,8,0,8.5%,21.3%,0.31,0.25,0.262,0.34,0.5710000000000001,18.8%,40.6%,40.6%,30.8%,30.8%,21.9%,60.0%,38.9%,47.8%,88.2%,75.7%,0.321
18401,Ronald Acuna Jr.,ATL,128,105,29,6,17,19,2,14.1%,21.9%,0.21899999999999997,0.324,0.276,0.392,0.495,23.4%,42.9%,33.8%,7.7%,23.1%,23.1%,70.1%,42.0%,74.7%,82.2%,79.8%,0.365
3711,Eric Thames,MIL,63,55,15,5,10,16,0,7.9%,34.9%,0.29100000000000004,0.345,0.273,0.349,0.564,29.4%,20.6%,50.0%,0.0%,29.4%,25.3%,68.2%,43.5%,45.9%,83.6%,70.9%,0.34600000000000003
13744,David Dahl,COL,89,81,26,2,11,8,0,6.7%,31.5%,0.222,0.462,0.321,0.364,0.5429999999999999,28.3%,37.7%,34.0%,0.0%,11.1%,40.7%,72.3%,52.6%,54.0%,77.7%,66.3%,0.353
4106,Michael Brantley,HOU,129,118,39,5,17,18,3,7.0%,10.9%,0.18600000000000003,0.34,0.331,0.38,0.517,26.2%,46.6%,27.2%,0.0%,17.9%,27.9%,62.3%,43.9%,83.1%,96.9%,92.2%,0.37200000000000005
2396,Carlos Santana,CLE,114,95,30,3,17,16,1,15.8%,15.8%,0.147,0.365,0.316,0.43,0.46299999999999997,20.8%,53.2%,26.0%,0.0%,15.0%,23.6%,70.2%,42.7%,57.8%,87.1%,77.6%,0.397
6184,J.D. Martinez,BOS,120,105,34,4,15,15,1,10.0%,14.2%,0.171,0.353,0.324,0.4,0.495,18.0%,41.6%,40.4%,0.0%,11.1%,34.8%,79.1%,54.4%,55.1%,89.3%,77.1%,0.38299999999999995
12371,Tommy La Stella,LAA,90,76,19,7,15,18,0,11.1%,5.6%,0.289,0.188,0.25,0.35200000000000004,0.539,21.1%,42.3%,36.6%,7.7%,26.9%,18.9%,56.8%,38.4%,91.2%,90.7%,90.8%,0.34600000000000003
2151,Edwin Encarnacion,SEA,114,95,24,8,19,20,0,13.2%,17.5%,0.263,0.235,0.253,0.368,0.516,23.7%,32.9%,43.4%,6.1%,24.2%,25.9%,62.8%,40.5%,68.4%,78.3%,74.5%,0.344
10322,Danny Santana,TEX,63,59,20,2,13,9,5,1.6%,25.4%,0.203,0.429,0.33899999999999997,0.355,0.542,29.5%,34.1%,36.4%,12.5%,12.5%,38.5%,72.7%,54.7%,66.0%,87.5%,79.5%,0.324
5930,Nick Markakis,ATL,121,103,34,2,18,18,0,12.4%,13.2%,0.146,0.364,0.33,0.405,0.47600000000000003,30.0%,50.0%,20.0%,0.0%,11.1%,27.5%,63.2%,43.1%,85.5%,88.5%,87.4%,0.35600000000000004
5933,Jean Segura,PHI,83,76,25,1,15,11,1,6.0%,13.3%,0.158,0.375,0.32899999999999996,0.386,0.48700000000000004,16.9%,58.5%,24.6%,0.0%,6.3%,33.5%,56.3%,43.3%,77.4%,94.0%,86.7%,0.32299999999999995
5452,Ji-Man Choi,TBR,80,67,20,1,10,8,1,12.5%,20.0%,0.16399999999999998,0.373,0.299,0.4,0.46299999999999997,28.8%,48.1%,23.1%,8.3%,8.3%,19.1%,69.6%,41.7%,68.6%,84.5%,80.4%,0.363
